,name,address,latitude,longitude,rating,user_ratings_total,weighted_ratings,business_status,types
0,"PPBCC Veterinary Hospital (Animal Specialty, Surgical and Trauma Center)","102 Primo Cruz, Mandaluyong, 1550 Metro Manila, Philippines",14.5816853,121.0295831,4.2,25,105.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
1,Biyaya Animal Care - Mandala,"Mandala Park, 312 Shaw Boulevard, Brgy, Mandaluyong, 1550 Metro Manila, Philippines",14.5884989,121.0428739,4.3,95,408.5,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
2,Animal House,"16 Jupiter, Makati, 1209 Metro Manila, Philippines",14.5576014,121.0338222,3.9,589,2297.1,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
3,Beterinaryo sa Fort Animal Clinic,"Ground Floor, Kensington Place, 1st Ave, Taguig, 1634 Metro Manila, Philippines",14.5530074,121.0437868,3.9,120,468.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
4,Makati Dog and Cat Hospital,"5426 General Luna corner Algier Street, Poblacion, Makati, 1210 Metro Manila, Philippines",14.5628751,121.0335446,5.0,1,5.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
5,IMMANUEL ANIMAL CLINIC PET SUPPLIES & GROOMING CENTER,"196 Rt. Rev. G. Aglipay, Mandaluyong, Metro Manila, Philippines",14.5874528,121.0247207,4.5,40,180.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
6,CURAPET ANIMAL CLINIC,"2543 Tejeron St, Santa Ana, Manila, 1009 Metro Manila, Philippines",14.5754395,121.011672,4.2,441,1852.2,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
7,Dr. Maricelle Licuanan,"508, The Pet Department Dog and Cat Clinic, Boni Avenue, Mandaluyong, 1550 Metro Manila, Philippines",14.5742886,121.0435866,5.0,1,5.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
8,The Furr Project Animal Hospital,"1230 Chino Roces Ave, Makati, Metro Manila, Philippines",14.5520319,121.0134659,4.2,198,831.6,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
9,Rima Animal Hospital,"102 Primo Cruz, Mandaluyong, 1550 Metro Manila, Philippines",14.5816853,121.0295831,0.0,0,0.0,OPERATIONAL,"['veterinary_care', 'health', 'point_of_interest', 'establishment']"
10,C.B Veterinary Clinic,"H28J+WJ9, J. P. Rizal St, Mandaluyong, 1210 Metro Manila, Philippines",14.5673015,121.0316035,5.0,2,10.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
11,Doc Pete Veterinary Services (Dog and Cat Clinic),"8186 Sgt. Fabian Yabut Circle, Maynila, Kalakhang Maynila, Philippines",14.5617505,121.0463809,5.0,4,20.0,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']"
